,code_circo,estimation,participation,candidat_1,candidat_1_parti,candidat_1_score,candidat_2,candidat_2_parti,candidat_2_score,candidat_3,candidat_3_parti,candidat_3_score,second_tour,NFP_vs_RN,diff_vote,swing_circo
429,078-06,False,69.5,Natalia POUZYREFF / ENS / Renaissance,ENS,38.33,Mélinda SAUGER / NFP / La France insoumise,NFP,27.02,Sophie LELANDAIS / EXD / Rassemblement national,EXD,20.45,True,False,11.309999999999999,
430,078-07,False,67.89,Aurélien ROUSSEAU / NFP / Place publique,NFP,34.68,Nadia HAI / ENS / Renaissance,ENS,29.32,Babette DE ROZIERES / EXD / À droite ! Les amis d’Éric Ciotti,EXD,25.79,True,False,5.359999999999999,
431,078-08,False,61.91,Benjamin LUCAS / NFP / Génération.s,NFP,44.92,Cyril NAUTH / EXD / Rassemblement national,EXD,30.97,,,,True,True,13.950000000000003,
432,078-09,False,67.9,Laurent MORIN / EXD / Rassemblement national,EXD,34.49,Dieynaba DIOP / NFP / Parti socialiste,NFP,29.64,Bruno MILLIENNE / ENS / Modem,ENS,21.35,True,True,4.850000000000001,<5
433,078-10,False,73.3,Aurore BERGÉ / ENS / Renaissance,ENS,33.59,Thomas DU CHALARD / EXD / Rassemblement national,EXD,28.22,Cédric BRIOLAIS / NFP / La France insoumise,NFP,22.4,True,False,5.3700000000000045,
434,078-11,False,68.14,William MARTINET / NFP / La France insoumise,NFP,43.38,"Laurent MAZAURY / Union de la droite, du centre et des indépendants",,29.25,Victoria DOUCET / EXD / Rassemblement national,EXD,21.79,True,False,14.130000000000003,
435,078-12,False,71.42,Karl OLIVE / ENS / Renaissance,ENS,40.75,Christophe MASSIAUX / NFP / Les Écologistes,NFP,30.32,Jean-Louis METTELET / EXD / Rassemblement national,EXD,24.88,True,False,10.43,
436,079-01,False,70.55,Bastien MARCHIVE / ENS / Parti radical,ENS,40.24,Nathalie LANZI / NFP / Parti socialiste,NFP,32.79,Dorothée CHAMPEAU / EXD / Rassemblement national,EXD,24.62,True,False,7.450000000000003,
437,079-02,False,69.62,Delphine BATHO / Les Écologistes,,38.57,Mélody GARAULT / EXD / Rassemblement national,EXD,34.12,,,,True,False,4.450000000000003,<5
438,079-03,False,67.91,Philippe ROBIN / EXD / À droite ! Les amis d’Éric Ciotti,EXD,35.27,Jean-Marie FIÉVET / ENS / Renaissance,ENS,31.12,,,,True,False,4.150000000000002,<5
